model, size,french fries,hamburger,hot dog,pizza,ramen,steak,sushi
food.mlmodel,3723258,0.64,0.81,0.54,0.75,0.48,0.42,0.61,
food_kmeans_1.mlmodel,723718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
food_kmeans_16.mlmodel,2174665,0.64,0.81,0.54,0.75,0.48,0.42,0.61,
food_kmeans_2.mlmodel,820931,0.32,0.0,0.0,0.0,0.0,0.0,0.0,
food_kmeans_3.mlmodel,918559,0.69,0.35,0.33,0.56,0.05,0.06,0.2,
food_kmeans_4.mlmodel,1017037,0.71,0.74,0.54,0.61,0.4,0.33,0.49,
food_kmeans_5.mlmodel,1117323,0.69,0.78,0.54,0.74,0.43,0.33,0.56,
food_kmeans_6.mlmodel,1220775,0.62,0.81,0.52,0.71,0.52,0.46,0.58,
food_kmeans_7.mlmodel,1330879,0.67,0.8,0.54,0.76,0.46,0.42,0.61,
food_kmeans_8.mlmodel,1454304,0.64,0.8,0.54,0.75,0.47,0.43,0.6,
food_linear_1.mlmodel,748074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
food_linear_16.mlmodel,2174665,0.64,0.81,0.54,0.75,0.48,0.42,0.61,
food_linear_2.mlmodel,844871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
food_linear_3.mlmodel,941663,0.03,0.03,0.02,0.3,0.18,0.21,0.38,
food_linear_4.mlmodel,1038472,0.53,0.75,0.54,0.68,0.41,0.41,0.59,
food_linear_5.mlmodel,1135265,0.61,0.8,0.5,0.74,0.38,0.47,0.61,
food_linear_6.mlmodel,1232061,0.67,0.77,0.52,0.75,0.49,0.38,0.57,
food_linear_7.mlmodel,1328863,0.64,0.81,0.54,0.76,0.47,0.42,0.57,
food_linear_8.mlmodel,1425658,0.65,0.8,0.55,0.75,0.46,0.43,0.62,
food_linear_lut_1.mlmodel,723722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
food_linear_lut_16.mlmodel,2174669,0.64,0.81,0.54,0.75,0.48,0.42,0.61,
food_linear_lut_2.mlmodel,820935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
food_linear_lut_3.mlmodel,918563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
food_linear_lut_4.mlmodel,1017041,0.47,0.4,0.28,0.82,0.27,0.12,0.48,
food_linear_lut_5.mlmodel,1117327,0.68,0.71,0.49,0.8,0.5,0.43,0.57,
food_linear_lut_6.mlmodel,1220779,0.66,0.77,0.6,0.71,0.47,0.42,0.62,
food_linear_lut_7.mlmodel,1330883,0.64,0.78,0.54,0.76,0.47,0.4,0.57,
food_linear_lut_8.mlmodel,1454308,0.63,0.81,0.57,0.75,0.5,0.41,0.6,
